study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	min	max	comments	mean_unit	value_unit
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	0.0	hr		0.0							kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	0.113636363636363	hr		-38.821844611264694							kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	0.181818181818181	hr		-431.1268006829878							kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	0.272727272727272	hr		-643.6253185551722							kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	0.363636363636363	hr		-856.1238364273567							kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	0.545454545454545	hr		-905.1619559363218							kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	0.681818181818181	hr		-1477.2733502075805							kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	0.863636363636363	hr		-1804.194146934019							kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	1.0	hr		-2163.807023333095	-30.4521072796934	1896.1406210133305	547.3686489817153				kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	1.25	hr		-2327.267421696321							kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	1.5	hr		-2376.3055412052836							kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	1.75	hr		-2000.3466249698824							kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	2.0	hr		-2131.114943660458	-24.0766283524904	1078.8386291972406	311.4338864895968				kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	2.5	hr		-1706.1179079160809							kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	3.0	hr		-1722.4639477524063	-21.9923371647509	1209.6069478878162	349.18344848833624				kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	3.5	hr		-1640.7337485707933							kilogram/meter/second^2	mmHg
