study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	median	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit	median_unit
McElnay1996		all	6.0	SLCAP12.5, PF25	concentration	captopril	plasma	HPLC	SLCAP12.5_concentration_captopril_plasma_all	5.0	min			0.0	1.72511010926476	1.9447451585777208e-05	7.93938886377228e-06	manully set to zero	mole/meter^3	ng/ml	ng/ml
McElnay1996		all	6.0	SLCAP12.5, PF25	concentration	captopril	plasma	HPLC	SLCAP12.5_concentration_captopril_plasma_all	10.0	min			0.0	1.53919110291156	1.7351555877142877e-05	7.08374302373178e-06		mole/meter^3	ng/ml	ng/ml
McElnay1996		all	6.0	SLCAP12.5, PF25	concentration	captopril	plasma	HPLC	SLCAP12.5_concentration_captopril_plasma_all	15.0	min			0.0	1.56257714144655	1.7615190557474192e-05	7.191371431284027e-06		mole/meter^3	ng/ml	ng/ml
McElnay1996		all	6.0	SLCAP12.5, PF25	concentration	captopril	plasma	HPLC	SLCAP12.5_concentration_captopril_plasma_all	20.0	min			9.680816497968013e-05	27.7931374969143	7.61860287044269e-05	3.110281597581296e-05		mole/meter^3	ng/ml	ng/ml
McElnay1996		all	6.0	SLCAP12.5, PF25	concentration	captopril	plasma	HPLC	SLCAP12.5_concentration_captopril_plasma_all	25.0	min			0.00022624208790203787	56.3357975288753	8.09050894823582e-05	3.3029364470998546e-05		mole/meter^3	ng/ml	ng/ml
McElnay1996		all	6.0	SLCAP12.5, PF25	concentration	captopril	plasma	HPLC	SLCAP12.5_concentration_captopril_plasma_all	30.0	min			0.0003479160026398771	83.1981706920968	8.569005893037255e-05	3.498282006807225e-05		mole/meter^3	ng/ml	ng/ml
McElnay1996		all	6.0	SLCAP12.5, PF25	concentration	captopril	plasma	HPLC	SLCAP12.5_concentration_captopril_plasma_all	40.0	min			0.0004872338009891203	115.157920721329	0.00010472008893895849	4.275179728655347e-05		mole/meter^3	ng/ml	ng/ml
McElnay1996		all	6.0	SLCAP12.5, PF25	concentration	captopril	plasma	HPLC	SLCAP12.5_concentration_captopril_plasma_all	60.0	min			0.00039248313240047904	86.9687796385558	1.903003000858587e-05	7.76897721848121e-06		mole/meter^3	ng/ml	ng/ml
McElnay1996		all	6.0	SLCAP12.5, PF25	concentration	captopril	plasma	HPLC	SLCAP12.5_concentration_captopril_plasma_all	90.0	min			0.0002649273251899082	61.5766087645676	4.5226529410846356e-05	1.846365331559164e-05		mole/meter^3	ng/ml	ng/ml
McElnay1996		all	6.0	SLCAP12.5, PF25	concentration	captopril	plasma	HPLC	SLCAP12.5_concentration_captopril_plasma_all	120.0	min			0.0001733803955327413	41.4755291091219	4.28669990218808e-05	1.750037906799894e-05		mole/meter^3	ng/ml	ng/ml
McElnay1996		all	6.0	SLCAP12.5, PF25	concentration	captopril	plasma	HPLC	SLCAP12.5_concentration_captopril_plasma_all	180.0	min			6.222357001955127e-05	18.3829853577414	5.481843786356904e-05	2.237953354370163e-05		mole/meter^3	ng/ml	ng/ml
