study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Azizi1999b	healthy_multiple	10.0	CAP50m	relative ACE activity	angiotensin converting enzyme	plasma	enzymatic assay	CAP50m_relative ACE activity_plasma_AcS	0.0	d		1.0	102.336448598131	0.0738849920600139	0.023364485981310003		dimensionless	percent
Azizi1999b	healthy_multiple	10.0	CAP50m	relative ACE activity	angiotensin converting enzyme	plasma	enzymatic assay	CAP50m_relative ACE activity_plasma_AcS	1.0	d		0.367990654205608	33.2943925233645	0.110827488090015	0.035046728971963		dimensionless	percent
Azizi1999b	healthy_multiple	10.0	CAP50m	relative ACE activity	angiotensin converting enzyme	plasma	enzymatic assay	CAP50m_relative ACE activity_plasma_AcS	2.0	d		0.367990654205608	33.6448598130841	0.09974473928101389	0.031542056074767004		dimensionless	percent
Azizi1999b	healthy_multiple	10.0	CAP50m	relative ACE activity	angiotensin converting enzyme	plasma	enzymatic assay	CAP50m_relative ACE activity_plasma_AcS	3.0	d		0.364485981308411	39.2523364485981	0.0886619904720104	0.02803738317757		dimensionless	percent
Azizi1999b	healthy_multiple	10.0	CAP50m	relative ACE activity	angiotensin converting enzyme	plasma	enzymatic assay	CAP50m_relative ACE activity_plasma_AcS	4.0	d		0.367990654205608	39.9532710280374	0.0997447392810108	0.031542056074766		dimensionless	percent
Azizi1999b	healthy_multiple	10.0	CAP50m	relative ACE activity	angiotensin converting enzyme	plasma	enzymatic assay	CAP50m_relative ACE activity_plasma_AcS	5.0	d		0.329439252336449	37.8504672897197	0.15515848332602	0.0490654205607481		dimensionless	percent
Azizi1999b	healthy_multiple	10.0	CAP50m	relative ACE activity	angiotensin converting enzyme	plasma	enzymatic assay	CAP50m_relative ACE activity_plasma_AcS	7.0	d		0.35397196261682307	31.892523364486	0.110827488090015	0.035046728971963		dimensionless	percent
Azizi1999b	healthy_multiple	10.0	CAP50m	relative ACE activity	angiotensin converting enzyme	plasma	enzymatic assay	CAP50m_relative ACE activity_plasma_AcS	7.25	d		0.448598130841122	48.0140186915888	0.099744739281011	0.0315420560747661		dimensionless	percent
Azizi1999b	healthy_multiple	10.0	CAP50m	relative ACE activity	angiotensin converting enzyme	plasma	enzymatic assay	CAP50m_relative ACE activity_plasma_AcS	7.5	d		0.602803738317757	63.0841121495327	0.0886619904720104	0.02803738317757		dimensionless	percent
Azizi1999b	healthy_multiple	10.0	CAP50m	relative ACE activity	angiotensin converting enzyme	plasma	enzymatic assay	CAP50m_relative ACE activity_plasma_AcS	8.0	d		0.6728971962616831	64.8364485981309	0.07757924166301	0.0245327102803741		dimensionless	percent
Azizi1999b	healthy_multiple	10.0	CAP50m	relative ACE activity	angiotensin converting enzyme	plasma	enzymatic assay	CAP50m_relative ACE activity_plasma_AcS	8.25	d		0.7044392523364491	66.9392523364486	0.110827488090015	0.035046728971963		dimensionless	percent
Azizi1999b	healthy_multiple	10.0	CAP50m	relative ACE activity	angiotensin converting enzyme	plasma	enzymatic assay	CAP50m_relative ACE activity_plasma_AcS	8.5	d		0.735981308411215	70.0934579439253	0.110827488090011	0.035046728971961996		dimensionless	percent
Azizi1999b	healthy_multiple	10.0	CAP50m	relative ACE activity	angiotensin converting enzyme	plasma	enzymatic assay	CAP50m_relative ACE activity_plasma_AcS	9.0	d		0.8271028037383179	77.803738317757	0.15515848332602	0.049065420560748		dimensionless	percent
Azizi1999b	healthy_multiple	10.0	CAP50m	relative ACE activity	angiotensin converting enzyme	plasma	enzymatic assay	CAP50m_relative ACE activity_plasma_AcS	10.0	d		0.935747663551402	97.0794392523365	0.110827488090015	0.035046728971963		dimensionless	percent
