study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	min	max	comments	mean_unit	value_unit
Kripalani1980		all	10.0	CAP1.37	concentration	captopril	blood	scintillation counting	CAP1.37_concentration_captopril_blood_all	0.3	hr		0.0005803903505534313	0.12290050110765	0.0011457178747027099	0.00036230780400279655				mole/meter^3	ug/ml
Kripalani1980		all	10.0	CAP1.37	concentration	captopril	blood	scintillation counting	CAP1.37_concentration_captopril_blood_all	0.5	hr		0.0034420695263908995	0.510101524646678	0.0014882378653341155	0.00047062213545627475				mole/meter^3	ug/ml
Kripalani1980		all	10.0	CAP1.37	concentration	captopril	blood	scintillation counting	CAP1.37_concentration_captopril_blood_all	0.7	hr		0.00557971464768025	0.821826022058214	0.0022895967158986274	0.0007240340545481126				mole/meter^3	ug/ml
Kripalani1980		all	10.0	CAP1.37	concentration	captopril	blood	scintillation counting	CAP1.37_concentration_captopril_blood_all	1.0	hr		0.005906983855870569	0.840932083920723	0.0017181170536773513	0.0005433163176398201				mole/meter^3	ug/ml
Kripalani1980		all	10.0	CAP1.37	concentration	captopril	blood	scintillation counting	CAP1.37_concentration_captopril_blood_all	1.5	hr		0.003339279952783364	0.482541788587066	0.0011447983579493137	0.0003620170272740563				mole/meter^3	ug/ml
Kripalani1980		all	10.0	CAP1.37	concentration	captopril	blood	scintillation counting	CAP1.37_concentration_captopril_blood_all	2.0	hr		0.0019303213137018816	0.303574094037649	0.0012592781937442528	0.00039821873000146497				mole/meter^3	ug/ml
Kripalani1980		all	10.0	CAP1.37	concentration	captopril	blood	scintillation counting	CAP1.37_concentration_captopril_blood_all	2.5	hr		0.0009560738840780004	0.15296222145878	0.0006868790147695744	0.00021721021636442918				mole/meter^3	ug/ml
Kripalani1980		all	10.0	CAP1.37	concentration	captopril	blood	scintillation counting	CAP1.37_concentration_captopril_blood_all	3.0	hr		0.0007052789555447637	0.115584092497601	0.0005733186957280253	0.00018129929036576076				mole/meter^3	ug/ml
Kripalani1980		all	10.0	CAP1.37	concentration	captopril	blood	scintillation counting	CAP1.37_concentration_captopril_blood_all	4.0	hr		0.00042235319848640183	0.0881001741437932	0.0008013588505645272	0.00025341191909184174				mole/meter^3	ug/ml
Kripalani1980		all	10.0	CAP1.37	concentration	captopril	blood	scintillation counting	CAP1.37_concentration_captopril_blood_all	6.0	hr		0.0001443706458165236	0.0376624453579426	0.00045699982642635317	0.00014451603418088837				mole/meter^3	ug/ml
