study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	min	max	comments	mean_unit	value_unit
Kripalani1980		all	10.0	CAP1.37	concentration	captopril+metabolites	blood	scintillation counting	CAP1.37_concentration_captopril+metabolites_blood_all	0.3	hr		0.0009919971125688456	0.24561145795079	0.0012703658354640207	0.000401724950172902				mole/meter^3	ug/ml
Kripalani1980		all	10.0	CAP1.37	concentration	captopril+metabolites	blood	scintillation counting	CAP1.37_concentration_captopril+metabolites_blood_all	0.5	hr		0.0048764138663825625	0.996225699832964	0.002456040615230424	0.0007766682370009362				mole/meter^3	ug/ml
Kripalani1980		all	10.0	CAP1.37	concentration	captopril+metabolites	blood	scintillation counting	CAP1.37_concentration_captopril+metabolites_blood_all	0.7	hr		0.00809150415033661	1.54869036759741	0.002202647697580938	0.0006965383607281517				mole/meter^3	ug/ml
Kripalani1980		all	10.0	CAP1.37	concentration	captopril+metabolites	blood	scintillation counting	CAP1.37_concentration_captopril+metabolites_blood_all	1.0	hr		0.008360611466356006	1.60551573809721	0.0023713495595328294	0.00074988657365608				mole/meter^3	ug/ml
Kripalani1980		all	10.0	CAP1.37	concentration	captopril+metabolites	blood	scintillation counting	CAP1.37_concentration_captopril+metabolites_blood_all	1.5	hr		0.007452186050248827	1.3698743084596	0.0010156124189279678	0.0003211648463765473				mole/meter^3	ug/ml
Kripalani1980		all	10.0	CAP1.37	concentration	captopril+metabolites	blood	scintillation counting	CAP1.37_concentration_captopril+metabolites_blood_all	2.0	hr		0.005981345703899629	1.10602869226304	0.0009322818621169174	0.00029481341055525033				mole/meter^3	ug/ml
Kripalani1980		all	10.0	CAP1.37	concentration	captopril+metabolites	blood	scintillation counting	CAP1.37_concentration_captopril+metabolites_blood_all	2.5	hr		0.004564068684240105	0.846789001694052	0.0007622195012783966	0.0002410349701037355				mole/meter^3	ug/ml
Kripalani1980		all	10.0	CAP1.37	concentration	captopril+metabolites	blood	scintillation counting	CAP1.37_concentration_captopril+metabolites_blood_all	3.0	hr		0.0038163332482020855	0.72445713337993	0.0009316016126736141	0.0002945982967934595				mole/meter^3	ug/ml
Kripalani1980		all	10.0	CAP1.37	concentration	captopril+metabolites	blood	scintillation counting	CAP1.37_concentration_captopril+metabolites_blood_all	4.0	hr		0.0027491538758820044	0.522270266428157	0.0006782086950241619	0.00021446842052068638				mole/meter^3	ug/ml
Kripalani1980		all	10.0	CAP1.37	concentration	captopril+metabolites	blood	scintillation counting	CAP1.37_concentration_captopril+metabolites_blood_all	6.0	hr		0.0016603555705004113	0.320917394240224	0.0005081463341856089	0.00016068998006916078				mole/meter^3	ug/ml
Kripalani1980		all	10.0	CAP1.37	concentration	captopril+metabolites	blood	scintillation counting	CAP1.37_concentration_captopril+metabolites_blood_all	8.0	hr		0.001187105294526985	0.237555826709157	0.0005088265836289672	0.000160905093830968				mole/meter^3	ug/ml
Kripalani1980		all	10.0	CAP1.37	concentration	captopril+metabolites	blood	scintillation counting	CAP1.37_concentration_captopril+metabolites_blood_all	10.0	hr		0.0008745449986227139	0.173034959070286	0.0003394444722337695	0.00010734176714124964				mole/meter^3	ug/ml
Kripalani1980		all	10.0	CAP1.37	concentration	captopril+metabolites	blood	scintillation counting	CAP1.37_concentration_captopril+metabolites_blood_all	12.0	hr		0.0007764531232391347	0.151028869960788	0.00025475341653614426	8.056010379638195e-05				mole/meter^3	ug/ml
