study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time_start	time_end	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	min	max	comments	mean_unit	value_unit
Duchin1982		all	5.0	CAP10o	recovery	captopril+metabolites	urine	scintillation counting	CAP10o_recovery_captopril+metabolites_urine_all			1.0	hr		3.4046996203759925e-06		2.588467530003674e-06	1.1575978709278374e-06				mole	percent
Duchin1982		all	5.0	CAP10o	recovery	captopril+metabolites	urine	scintillation counting	CAP10o_recovery_captopril+metabolites_urine_all			2.0	hr		9.499111940849017e-06		3.212889314805633e-06	1.4368477824176227e-06				mole	percent
Duchin1982		all	5.0	CAP10o	recovery	captopril+metabolites	urine	scintillation counting	CAP10o_recovery_captopril+metabolites_urine_all			4.0	hr		1.5423289280303245e-05		3.7343207340159005e-06	1.6700390022092948e-06				mole	percent
Duchin1982		all	5.0	CAP10o	recovery	captopril+metabolites	urine	scintillation counting	CAP10o_recovery_captopril+metabolites_urine_all			6.0	hr		1.66489811436386e-05		3.772155198606411e-06	1.6869590891526271e-06				mole	percent
Duchin1982		all	5.0	CAP10o	recovery	captopril+metabolites	urine	scintillation counting	CAP10o_recovery_captopril+metabolites_urine_all			8.0	hr		1.824918996521532e-05		3.809613935853019e-06	1.703711145719573e-06				mole	percent
Duchin1982		all	5.0	CAP10o	recovery	captopril+metabolites	urine	scintillation counting	CAP10o_recovery_captopril+metabolites_urine_all			12.0	hr		1.910036487030932e-05		3.821765845297872e-06	1.7091456448345998e-06				mole	percent
Duchin1982		all	5.0	CAP10o	recovery	captopril+metabolites	urine	scintillation counting	CAP10o_recovery_captopril+metabolites_urine_all			24.0	hr		1.9747257798180755e-05		3.824797790118507e-06	1.7105015717791905e-06				mole	percent
Duchin1982		all	5.0	CAP10o	recovery	captopril+metabolites	urine	scintillation counting	CAP10o_recovery_captopril+metabolites_urine_all			48.0	hr		2.0394150726052196e-05		3.825555400859834e-06	1.7108403856028137e-06				mole	percent
Duchin1982		all	5.0	CAP10o	recovery	captopril+metabolites	urine	scintillation counting	CAP10o_recovery_captopril+metabolites_urine_all			72.0	hr		2.0564385707070993e-05		3.825555400859834e-06	1.7108403856028137e-06				mole	percent
Duchin1982		all	5.0	CAP10o	recovery	captopril+metabolites	urine	scintillation counting	CAP10o_recovery_captopril+metabolites_urine_all			96.0	hr		2.066652669568228e-05		3.2736501114752334e-06	1.4640208367616769e-06				mole	percent
